month,w1,w2,w3,w4,max,total
1,79805.72946930685,0,0,1712.409781985319,81331,
2,79805.72946930685,0,0,1712.409781985319,80448,
3,78202.44054517256,0,0,0,78336,
4,73987.68072285825,0,0,0,74304,
5,73987.68072285825,0,0,0,72768,
6,73987.68072285825,0,0,0,71308,
7,73987.68072285825,0,0,0,71116,
8,73987.68072285825,0,0,0,72729,
9,73987.68072285825,0,0,0,72921,
10,73987.68072285825,0,0,0,72076,
11,74014.74110270117,0,0,0,75225,
12,74014.74110270117,0,0,0,75456,
13,74002.70390589906,0,0,0,81331,
14,74002.70390589906,0,0,0,80448,
15,73941.19572465794,0,0,0,78336,
16,72769.2670223517,0,0,0,74304,
17,72769.2670223517,0,0,0,72768,
18,72769.2670223517,0,0,0,71308,
19,72769.2670223517,0,0,0,71116,
20,72737.21045877469,0,0,0,72729,
21,72737.21045877469,0,0,0,72921,
22,72737.21045877469,0,0,0,72076,
23,72713.88692407635,0,0,644.3288982791717,75225,
24,72713.88692407635,0,0,644.3288982791717,75456,372836953.73651665
