"108年05月03日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","12,694.50","+","104.43","0.83",
"發行量加權股價指數","11,096.30","+","91.81","0.83",
"臺灣公司治理100指數","6,301.43","+","57.11","0.91",
"臺灣50指數","8,399.38","+","98.52","1.19",
"臺灣中型100指數","8,148.23","+","33.77","0.42",
"臺灣資訊科技指數","11,050.60","+","223.36","2.06",
"臺灣發達指數","8,681.07","+","31.77","0.37",
"臺灣高股息指數","6,491.07","+","31.26","0.48",
"臺灣永續指數","5,404.29","+","61.03","1.14",
"臺灣就業99指數","6,490.94","+","31.72","0.49",
"臺灣高薪100指數","6,146.82","+","40.94","0.67",
"未含金融指數","9,368.60","+","90.09","0.97",
"未含電子指數","15,194.64","-","2.63","-0.02",
"未含金融電子指數","12,872.98","-","2.81","-0.02",
"小型股300指數","6,505.79","+","32.40","0.50",
"漲升股利150指數","6,265.18","+","38.41","0.62",
"漲升股利100指數","6,314.30","+","40.00","0.64",
"藍籌30指數","5,956.71","+","50.03","0.85",
"工業菁英30指數","6,335.71","+","68.32","1.09",
"電子菁英30指數","6,048.47","+","91.14","1.53",
"低波動股利精選30指數","6,054.88","+","2.06","0.03",
"低貝塔100指數","5,807.85","-","4.79","-0.08",
"中小型精選50指數","5,755.91","+","13.26","0.23",
"中小型A級動能50指數","6,311.11","+","36.43","0.58",
"特選高息低波指數","5,399.20","+","36.71","0.68",
"臺灣生技指數","5,037.41","+","38.38","0.77",
"特選內需高收益指數","5,569.13","+","8.50","0.15",
"臺灣中小型公司治理指數","5,569.19","+","12.39","0.22",
"臺灣IPO指數","5,180.66","+","61.88","1.21",
"價值投資指數","5,547.99","-","2.15","-0.04",
"中小型300指數","5,817.17","+","26.92","0.46",
"藍籌30反向一倍指數","8,062.33","-","68.87","-0.85",
"工業菁英30反向一倍指數","8,803.13","-","97.02","-1.09",
"水泥窯製類指數","567.73","+","5.95","1.06",
"塑膠化工類指數","928.75","-","3.05","-0.33",
"機電類指數","2,573.28","+","38.54","1.52",
"水泥類指數","156.06","+","1.77","1.15",
"食品類指數","1,727.94","+","2.05","0.12",
"塑膠類指數","297.61","-","1.91","-0.64",
"紡織纖維類指數","583.66","-","5.85","-0.99",
"電機機械類指數","182.21","+","0.36","0.20",
"電器電纜類指數","49.28","+","0.31","0.63",
"化學生技醫療類指數","99.28","+","0.58","0.59",
"化學類指數","108.42","+","0.40","0.37",
"生技醫療類指數","62.08","+","0.53","0.86",
"玻璃陶瓷類指數","33.43","+","0.10","0.30",
"造紙類指數","198.32","-","0.01","-0.01",
"鋼鐵類指數","108.86","+","0.49","0.45",
"橡膠類指數","261.11","+","0.92","0.35",
"汽車類指數","284.22","-","0.24","-0.08",
"電子工業類指數","458.25","+","7.10","1.57",
"半導體類指數","180.00","+","4.12","2.34",
"電腦及週邊設備類指數","95.55","+","0.66","0.70",
"光電類指數","41.52","+","0.44","1.07",
"通信網路類指數","128.13","+","0.25","0.20",
"電子零組件類指數","104.34","+","0.61","0.59",
"電子通路類指數","119.34","+","0.64","0.54",
"資訊服務類指數","106.53","+","1.49","1.42",
"其他電子類指數","86.06","+","1.21","1.43",
"建材營造類指數","283.37","+","0.37","0.13",
"航運類指數","67.62","+","0.15","0.22",
"觀光類指數","104.51","-","0.46","-0.44",
"金融保險類指數","1,289.36","-","0.09","-0.01",
"貿易百貨類指數","241.07","+","0.05","0.02",
"油電燃氣類指數","146.27","+","0.59","0.40",
"其他類指數","280.70","-","0.60","-0.21",
"臺指日報酬兩倍指數","17,351.73","+","284.78","1.67",
"臺指反向一倍指數","6,943.71","-","58.42","-0.83",
"電子類兩倍槓桿指數","13,606.86","+","415.21","3.15",
"電子類反向指數","7,384.18","-","118.07","-1.57",
"金融類日報酬兩倍指數","20,330.91","-","2.84","-0.01",
"金融類日報酬反向一倍指數","6,547.91","+","0.46","0.01",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","15,269.44","+","125.62","0.83",
"發行量加權股價報酬指數","19,796.78","+","163.81","0.83",
"臺灣公司治理100報酬指數","7,425.55","+","67.30","0.91",
"臺灣50報酬指數","15,149.07","+","177.69","1.19",
"臺灣中型100報酬指數","13,609.19","+","56.41","0.42",
"臺灣資訊科技報酬指數","18,894.38","+","381.89","2.06",
"臺灣發達報酬指數","14,083.13","+","51.53","0.37",
"臺灣高股息報酬指數","13,584.68","+","65.41","0.48",
"臺灣永續報酬指數","5,855.56","+","66.12","1.14",
"臺灣就業99報酬指數","8,617.04","+","42.11","0.49",
"臺灣高薪100報酬指數","7,360.02","+","49.02","0.67",
"未含金融電子報酬指數","23,215.87","-","5.07","-0.02",
"小型股300報酬指數","7,365.17","+","36.68","0.50",
"漲升股利150報酬指數","7,075.74","+","43.37","0.62",
"漲升股利100報酬指數","7,133.32","+","45.19","0.64",
"藍籌30報酬指數","6,462.71","+","54.28","0.85",
"工業菁英30報酬指數","6,881.90","+","74.21","1.09",
"電子菁英30報酬指數","6,511.79","+","98.12","1.53",
"低波動股利精選30報酬指數","6,623.27","+","2.25","0.03",
"低貝塔100報酬指數","6,346.82","-","5.23","-0.08",
"中小型精選50報酬指數","6,336.42","+","14.60","0.23",
"中小型A級動能50報酬指數","6,649.57","+","38.38","0.58",
"特選高息低波報酬指數","5,946.55","+","40.42","0.68",
"臺灣生技報酬指數","5,188.40","+","39.54","0.77",
"特選內需高收益報酬指數","5,901.32","+","9.00","0.15",
"臺灣中小型公司治理報酬指數","6,094.25","+","13.56","0.22",
"臺灣IPO報酬指數","5,307.51","+","63.39","1.21",
"價值投資報酬指數","5,869.06","-","2.28","-0.04",
"存股雙十等權重報酬指數","5,344.20","+","30.28","0.57",
"特選大蘋果報酬指數","5,688.78","+","79.42","1.42",
"中小型300報酬指數","5,817.17","+","26.92","0.46",
"特股高息20報酬指數","5,283.24","+","10.97","0.21",
"臺灣500報酬指數","5,689.14","+","47.27","0.84",
"水泥類報酬指數","243.93","+","2.77","1.15",
"食品類報酬指數","2,327.75","+","2.77","0.12",
"塑膠類報酬指數","443.21","-","2.85","-0.64",
"紡織纖維類報酬指數","819.98","-","8.22","-0.99",
"電機機械類報酬指數","248.37","+","0.49","0.20",
"電器電纜類報酬指數","62.72","+","0.39","0.63",
"化學生技醫療類報酬指數","137.90","+","0.80","0.58",
"化學類報酬指數","157.66","+","0.57","0.36",
"生技醫療類報酬指數","79.76","+","0.68","0.86",
"玻璃陶瓷類報酬指數","37.30","+","0.10","0.27",
"造紙類報酬指數","265.82","-","0.02","-0.01",
"鋼鐵類報酬指數","155.23","+","0.69","0.45",
"橡膠類報酬指數","368.27","+","1.31","0.36",
"汽車類報酬指數","398.32","-","0.33","-0.08",
"電子工業類報酬指數","746.69","+","11.56","1.57",
"半導體類報酬指數","279.40","+","6.39","2.34",
"電腦及週邊設備類報酬指數","168.88","+","1.16","0.69",
"光電類報酬指數","54.47","+","0.58","1.08",
"通信網路類報酬指數","232.82","+","0.44","0.19",
"電子零組件類報酬指數","167.48","+","0.99","0.59",
"電子通路類報酬指數","222.41","+","1.21","0.55",
"資訊服務類報酬指數","201.27","+","2.81","1.42",
"其他電子類報酬指數","116.11","+","1.64","1.43",
"建材營造類報酬指數","463.46","+","0.61","0.13",
"航運類報酬指數","88.34","+","0.20","0.23",
"觀光類報酬指數","128.75","-","0.56","-0.43",
"金融保險類報酬指數","1,893.63","-","0.13","-0.01",
