,TYPE_A,TYPE_B,TYPE_C,winRate
0,12,2,4,0.524
1,15,2,1,0.6459999999999999
2,12,3,0,0.244
3,12,3,2,0.439
4,14,1,1,0.5
5,15,3,1,0.622
6,14,3,2,0.402
7,11,5,1,0.488
8,15,3,1,0.451
9,14,18,0,0.8170000000000001
10,18,8,4,0.6709999999999999
11,22,6,2,0.512
12,0,0,0,0.622
13,0,0,0,0.317
14,0,0,0,0.524
15,20,4,0,0.5
16,24,8,2,0.512
17,22,6,2,0.37799999999999995
18,6,6,0,0.415
19,0,0,0,0.37799999999999995
20,0,0,0,0.573
21,18,0,9,0.354
22,39,9,0,0.341
23,33,12,6,0.293
24,15,6,3,0.5
25,0,0,0,0.39
26,0,0,0,0.7440000000000001
27,0,0,0,0.622
28,0,0,0,0.622
29,0,0,0,0.598
30,14,4,1,0.293
31,12,3,3,0.6709999999999999
32,12,5,2,0.341
33,11,5,1,0.439
34,15,2,2,0.32899999999999996
35,9,6,2,0.61
36,13,5,3,0.293
37,12,4,1,0.561
38,13,4,2,0.47600000000000003
39,7,9,1,0.7070000000000001
40,14,4,2,0.7929999999999999
41,13,4,2,0.585
42,14,3,0,0.512
43,14,4,2,0.42700000000000005
44,17,3,2,0.268
45,12,4,2,0.537
46,13,5,1,0.537
47,11,4,0,0.573
48,11,4,4,0.585
49,13,4,1,0.354
50,11,6,0,0.585
51,15,3,0,0.305
52,12,5,2,0.634
53,14,2,2,0.256
54,10,4,1,0.598
55,12,3,1,0.32899999999999996
56,12,4,1,0.573
57,11,5,0,0.72
58,11,5,3,0.585
59,10,5,0,0.524
60,13,4,1,0.34299999999999997
61,13,4,0,0.598
62,13,3,0,0.512
63,14,3,0,0.47600000000000003
64,14,3,1,0.268
65,15,3,3,0.23199999999999998
66,14,1,1,0.402
67,12,4,2,0.659
68,12,2,3,0.5
69,10,7,0,0.695
70,12,5,3,0.6459999999999999
71,11,4,2,0.585
72,14,4,1,0.585
73,13,5,2,0.451
74,11,8,3,0.402
75,10,3,2,0.47600000000000003
76,16,2,0,0.732
77,12,5,1,0.439
78,10,5,2,0.402
79,14,3,0,0.207
80,12,2,3,0.598
81,13,4,0,0.512
82,12,6,1,0.62
83,11,3,3,0.23199999999999998
84,10,5,1,0.6459999999999999
85,13,4,0,0.47600000000000003
86,9,6,0,0.585
87,14,3,1,0.7070000000000001
88,11,4,2,0.61
89,13,4,2,0.39
