,TEAM,TypeA,TypeB,TypeC,WinRate
0,ATL,1,8,4,0.34299999999999997
1,BKN,4,6,1,0.598
2,BOS,1,7,2,0.512
3,CHA,5,5,0,0.47600000000000003
4,CHI,7,3,2,0.268
5,CLE,5,4,3,0.23199999999999998
6,DAL,4,5,1,0.402
7,DEN,3,6,3,0.659
8,DET,5,5,1,0.5
9,GSW,1,7,1,0.695
10,HOU,3,6,3,0.6459999999999999
11,IND,2,8,1,0.585
12,LAC,3,6,1,0.585
13,LAL,4,6,2,0.451
14,MEM,7,4,2,0.402
15,MIA,2,6,2,0.47600000000000003
16,MIL,5,6,0,0.732
17,MIN,3,6,3,0.439
18,NOP,6,3,1,0.402
19,NYK,6,4,2,0.207
20,OKC,3,7,1,0.598
21,ORL,1,7,2,0.512
22,PHI,2,5,4,0.62
23,PHX,3,6,1,0.23199999999999998
24,POR,1,7,2,0.6459999999999999
25,SAC,1,7,2,0.47600000000000003
26,SAS,1,7,1,0.585
27,TOR,1,8,2,0.7070000000000001
28,UTA,1,6,2,0.61
29,WAS,4,6,4,0.39
