,NDC_code
0,90003
1,90018
2,90020
3,90022
4,90039
5,90047
6,90056
7,90073
8,90176
9,90274
10,90280
11,90306
12,90698
13,90758
14,90796
15,93073
16,93475
17,1439850
18,1439851
19,5910790
20,6034593
21,7030031
22,7030043
23,7030045
24,7030051
25,7030063
26,7815022
27,9046914
28,16590149
29,21695080
30,21695849
31,21695850
32,25021807
33,25021808
34,25021810
35,33261335
36,42549522
37,42806400
38,45865417
39,49836010
40,49836011
41,49836012
42,49836013
43,49836014
44,49836015
45,49999153
46,500900092
47,500900221
48,500900271
49,500900312
50,500900556
51,500901823
52,500902098
53,500902638
54,500903094
55,500903811
56,500904463
57,500904464
58,504364037
59,50742189
60,516621263
61,516621264
62,52584039
63,52584047
64,530023120
65,53217132
66,532254315
67,545691036
68,545698856
69,548680590
70,548682913
71,548686624
72,550451259
73,55150262
74,55150263
75,55150264
76,55150265
77,551543939
78,551543940
79,551543941
80,551543944
81,55289649
82,57582101
83,59746001
84,59746002
85,59746003
86,59746015
87,597620049
88,597620050
89,597620051
90,597624440
91,60760373
92,61919149
93,63187160
94,63187474
95,63187802
96,63323255
97,63323258
98,63323265
99,63739133
100,63874413
101,66267961
102,68001005
103,680711792
104,680714028
105,680714262
106,68084149
107,68382916
108,68382917
109,68382918
110,68382919
111,68387170
112,687884593
113,687887343
114,701211000
115,701211001
116,701211573
117,701211574
118,705180516
119,705181088
120,705181424
121,705181541
122,705182023
123,705182041
124,705182148
125,70625237
126,707711348
127,707711349
128,707711350
129,707711351
130,71205054
131,718727061
132,72189008
133,72647331
134,76420260
135,76420262
136,76420520
137,76420750
138,76420755
139,76420775
140,76420795
141,9000302
142,9001820
143,9002001
144,9002201
145,9003906
146,9003928
147,9003932
148,9004704
149,9004722
150,9004726
151,9005602
152,9005604
153,9007301
154,9017601
155,9027401
156,9028002
157,9028003
158,9028024
159,9028025
160,9028051
161,9028052
162,9030602
163,9030612
164,9030624
165,9069801
166,9069802
167,9075801
168,9079601
169,9307301
170,9307303
171,9307322
172,9307323
173,9347501
174,9347503
175,9347522
176,9347523
177,143985001
178,143985101
179,591079001
180,591079021
181,603459315
182,603459321
183,703003101
184,703003104
185,703004301
186,703004501
187,703005101
188,703005104
189,703006301
190,781502201
191,781502207
192,781502210
193,904691461
194,1659014921
195,2169508021
196,2169584910
197,2169585005
198,2502180705
199,2502180810
200,2502181030
201,3326133521
202,4254952221
203,4280640001
204,4280640021
205,4586541721
206,4983601020
207,4983601117
208,4983601219
209,4983601321
210,4983601418
211,4983601520
212,4999915321
213,5009000920
214,5009002210
215,5009002710
216,5009002711
217,5009003121
218,5009005560
219,5009018230
220,5009020980
221,5009026380
222,5009030940
223,5009038110
224,5009044630
225,5009044640
226,5043640371
227,5074218901
228,5074218921
229,5166212631
230,5166212641
231,5258403930
232,5258404725
233,5300231201
234,5321713201
235,5322543151
236,5456910360
237,5456988560
238,5486805900
239,5486829130
240,5486829131
241,5486829132
242,5486829133
243,5486866241
244,5504512599
245,5515026203
246,5515026303
247,5515026420
248,5515026550
249,5515439395
250,5515439405
251,5515439415
252,5515439418
253,5515439445
254,5528964930
255,5758210101
256,5758210102
257,5974600103
258,5974600106
259,5974600204
260,5974600206
261,5974600314
262,5974601504
263,5976200491
264,5976200501
265,5976200511
266,5976244402
267,5976244403
268,6076037321
269,6191914921
270,6318716021
271,6318747401
272,6318780221
273,6332325503
274,6332325803
275,6332326530
276,6373913310
277,6387441321
278,6626796121
279,6800100501
280,6807117922
281,6807140281
282,6807142621
283,6808414901
284,6838291601
285,6838291605
286,6838291634
287,6838291701
288,6838291705
289,6838291711
290,6838291777
291,6838291801
292,6838291805
293,6838291818
294,6838291877
295,6838291901
296,6838291905
297,6838291911
298,6838291977
299,6838717001
300,6878845932
301,6878873432
302,7012110005
303,7012110015
304,7012115731
305,7012115735
306,7012115741
307,7012115745
308,7051805160
309,7051810880
310,7051814240
311,7051815410
312,7051820231
313,7051820410
314,7051821480
315,7062523701
316,7062523711
317,7077113481
318,7077113483
319,7077113485
320,7077113491
321,7077113494
322,7077113495
323,7077113498
324,7077113501
325,7077113504
326,7077113505
327,7077113507
328,7077113511
329,7077113514
330,7077113515
331,7077113518
332,7120505421
333,7187270611
334,7218900821
335,7264733101
336,7264733104
337,7642026001
338,7642026201
339,7642052001
340,7642075001
341,7642075501
342,7642077501
343,7642079501
