,NDC_code
0,540017
1,540018
2,540019
3,543721
4,543722
5,544728
6,544741
7,544742
8,548724
9,548739
10,548740
11,1439738
12,1439739
13,1439740
14,3780640
15,3780641
16,3780642
17,4408165
18,4408167
19,4636141
20,4636155
21,5272930
22,5272931
23,5272932
24,5272933
25,5272934
26,5272935
27,5915052
28,5915442
29,5915443
30,6035335
31,6035336
32,6035337
33,6035338
34,6035339
35,6150536
36,6151542
37,6152513
38,6153593
39,6156516
40,6158306
41,6158307
42,10544045
43,10544046
44,10544048
45,10544093
46,10544125
47,10544274
48,10544473
49,10544508
50,10544509
51,10544538
52,10544913
53,10544914
54,10544915
55,12634184
56,12634188
57,16129101
58,16590326
59,16590365
60,16590373
61,16590624
62,178563722
63,21695305
64,21695306
65,21695307
66,21695580
67,21695764
68,21695765
69,33261129
70,33261351
71,33261352
72,33261780
73,42549647
74,42708045
75,42708046
76,42708047
77,42708105
78,42708114
79,42708115
80,43063703
81,43063866
82,43063911
83,43063968
84,43353657
85,43353819
86,45865638
87,45865670
88,48433321
89,49999028
90,500900095
91,500900096
92,500900099
93,500900100
94,500900101
95,500900102
96,500900439
97,500901001
98,500901989
99,500901990
100,500902403
101,500902789
102,500903273
103,500903310
104,500903335
105,500903336
106,500903354
107,500903361
108,504361720
109,504361730
110,504361750
111,504364324
112,504364325
113,504364326
114,51655320
115,51655410
116,52959126
117,52959127
118,52959220
119,530020610
120,530023090
121,530023091
122,530023250
123,530023520
124,53217255
125,53217288
126,53217292
127,53217336
128,538080399
129,538080540
130,538080542
131,538080543
132,538080560
133,54348506
134,545690330
135,545690331
136,545690332
137,545690333
138,545693043
139,545693302
140,545693413
141,545694026
142,545695840
143,548680258
144,548680836
145,548680908
146,548681119
147,548681183
148,548684095
149,548684096
150,548685213
151,548685230
152,551544938
153,551544946
154,551544949
155,551544950
156,551548130
157,55289330
158,55695013
159,55695014
160,55695015
161,55695024
162,55700203
163,55700208
164,55700209
165,55700728
166,55700733
167,581185442
168,59746171
169,59746172
170,59746173
171,59746175
172,60687122
173,60687134
174,60687145
175,60760002
176,60760179
177,60760255
178,60760630
179,61919108
180,61919226
181,61919235
182,61919321
183,61919326
184,61919342
185,61919365
186,61919373
187,61919404
188,61919995
189,63187020
190,63187037
191,63187066
192,63187085
193,63187243
194,63187300
195,63187807
196,63187997
197,636291579
198,636291587
199,636291605
200,636297388
201,636297752
202,636297753
203,636297917
204,636297937
205,636297953
206,636298015
207,636298119
208,63739518
209,63739519
210,63739520
211,63739588
212,647251473
213,66116485
214,66267171
215,66267172
216,66267173
217,66267812
